frame,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9
16,90.67687225341797,-293.8990478515625,-1640.6695556640625,0.005374437871783716,-0.8360063003562717,-0.5486935220887719,0.49888857662211833,-0.4732970827341191,0.7260165697773909,-0.8666494698166722,-0.2776388611847984,0.4145302874658125
17,97.12106323242188,-304.6677551269531,-1566.36083984375,-0.10677497485824182,-0.9447188843310568,-0.3100086036423913,0.5749124247408058,-0.3130463584939976,0.7559614284553775,-0.8112181017597359,-0.09751003549343507,0.5765561415468574
18,97.23432922363281,-302.6753845214844,-1567.828857421875,-0.0771969874970639,-0.9568584217713303,-0.2801117380736783,0.5821377091571405,-0.27134484936698566,0.7664774362623366,-0.8094172673588417,-0.10389385644631087,0.5779703745816551
19,97.15846252441406,-301.91839599609375,-1568.555419921875,-0.0650168822902806,-0.9595424679197705,-0.27395448029862174,0.5803042818240703,-0.2596972530136497,0.7718835904939386,-0.8118003113536615,-0.10879149339723457,0.5737113084561762
20,92.94353485107422,-298.8833923339844,-1574.3681640625,-0.017396396665317285,-0.9628522086797929,-0.2694679751352794,0.581655093446484,-0.22895679633256688,0.7805486132720303,-0.8132494805721212,-0.1431586869651022,0.56403091466302
21,81.72761535644531,-289.29022216796875,-1587.2308349609375,0.06877249548019793,-0.9653568382377767,-0.25170720834530974,0.5853250979181092,-0.16527034552724104,0.793775939819583,-0.807876768828379,-0.20192049860494446,0.5536815317766599
22,72.46037292480469,-287.66326904296875,-1591.789306640625,0.10725607413476346,-0.9632986970034986,-0.24607266185531454,0.5897129268564647,-0.13762540461621878,0.7958001708359982,-0.8004591172943063,-0.23046663176170193,0.553308533446608
23,67.58766174316406,-285.5938415527344,-1597.2490234375,0.13556371813790388,-0.9591851746826774,-0.24816582962525002,0.5879542229542121,-0.1237223503867811,0.7993763892717117,-0.7974536413077161,-0.25427658304242695,0.5471847122145612
24,60.88917541503906,-279.30352783203125,-1607.2122802734375,0.19564425755073916,-0.9518294959445696,-0.23610153565219927,0.5836726323500939,-0.08045174930578808,0.8079936721776667,-0.7880669912722726,-0.29588532691491365,0.5398169046848408
25,59.35002136230469,-277.12945556640625,-1610.5931396484375,0.2169998836857402,-0.9487182919027414,-0.22987964914171918,0.5826058569369749,-0.06308172748154167,0.8103030983037628,-0.7832505767269554,-0.30976490806269386,0.5390401059195896
