frame,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9
0,-33.7349739074707,289.9163513183594,-1259.4571533203125,-0.9450660329618604,-0.19120452059374676,-0.2651245455370881,-0.12078966564840016,-0.5493956230107441,0.8267855260520617,-0.303743395013422,0.8133912224269156,0.49611961185239223
1,-33.729248046875,289.916748046875,-1259.4263916015625,-0.9452337628648863,-0.19047880852593083,-0.2650489710276759,-0.12063776049125201,-0.5506641816712361,0.8259633707180986,-0.30328149347420347,0.8127033791777228,0.49752743963440554
2,-33.725440979003906,289.94134521484375,-1259.486572265625,-0.944993895193013,-0.1912817068329362,-0.2653259253804936,-0.120444524915068,-0.5506795349736002,0.8259813352487106,-0.30410467682349146,0.8125043743835093,0.4973499644533433
3,-33.73310852050781,289.92822265625,-1259.478271484375,-0.9451074835053724,-0.19098323807833795,-0.265136280797734,-0.12054124940410829,-0.550404520705175,0.8261505133929308,-0.3037131077418927,0.8127608912591816,0.4971700733404435
4,-33.739830017089844,289.9205017089844,-1259.4755859375,-0.9450790825411757,-0.19088940675295216,-0.26530503601069394,-0.12069996334845148,-0.550508800341276,0.8260578548712503,-0.30373845095873536,0.8127123077303032,0.4972340075586874
5,-33.7325553894043,289.9185791015625,-1259.471435546875,-0.9451763487059789,-0.19054962357685248,-0.2652027729899402,-0.12073184481848043,-0.5506706976445035,0.8259452793027166,-0.3034229580858382,0.8126823633563335,0.49747551175510546
6,-33.75840759277344,289.9189453125,-1259.4776611328125,-0.9449859893829293,-0.19129100063439292,-0.26534738164575666,-0.1202006584530474,-0.5513675590602074,0.8255577608644004,-0.3042257082782781,0.8120354474358132,0.4980413140797645
7,-33.71657180786133,289.9200439453125,-1259.4583740234375,-0.9452022997193477,-0.1905634790366645,-0.2651003075492352,-0.12058632833991867,-0.5508007807638448,0.8258797959312458,-0.30339998355760284,0.8125909551351046,0.49763881441248586
8,-33.73508834838867,289.92510986328125,-1259.489990234375,-0.9450737580198596,-0.19099287564823828,-0.26524953035554305,-0.1202761196519737,-0.551364334943428,0.825548923561684,-0.30392309379789434,0.8121078078703637,0.4981080820989642
9,-33.73504638671875,289.940673828125,-1259.5406494140625,-0.9451017011424587,-0.19123456805336425,-0.2649756865810025,-0.12073032933112096,-0.5491627722321518,0.8269488721643538,-0.30365599298750806,0.8135413877460328,0.49592685786013796
10,-33.736873626708984,289.9331359863281,-1259.493408203125,-0.9451731329344987,-0.19053633798357364,-0.2652237785090045,-0.12066845552275404,-0.5509086399213247,0.8257958551008772,-0.30345818924612533,0.8125241992506103,0.49771231952968303
11,-33.74021530151367,289.9296875,-1259.5301513671875,-0.9450701331848753,-0.19094800960173766,-0.26529474361746525,-0.12048791024779114,-0.5509680507296835,0.8257825806828654,-0.3038504679049255,0.8123872627658976,0.4976965224408247
12,-33.73417282104492,289.9304504394531,-1259.4732666015625,-0.9452138943558196,-0.19063059507965893,-0.26501069815439615,-0.12083216242782675,-0.5498359073730111,0.8264865779226622,-0.3032660258580256,0.8132284126755979,0.49667823223633106
13,-33.73625564575195,289.9342346191406,-1259.4871826171875,-0.9452212672781787,-0.1904950286561637,-0.2650818740357796,-0.12063109931027928,-0.5507358146057428,0.8259165819801308,-0.30332308478621783,0.8126510361574862,0.4975875798971843
14,-33.72684860229492,289.9269104003906,-1259.466552734375,-0.9451768007382088,-0.19064524560281146,-0.2651324304481219,-0.12048502420384703,-0.5510299871640096,0.8257416740050304,-0.30351964399175696,0.8124163609720543,0.49785086334769174
15,-33.73595428466797,289.9286193847656,-1259.4801025390625,-0.9453040933910181,-0.19025900239856006,-0.2649560020540963,-0.12100358121682095,-0.549780037339946,0.8264986653801638,-0.3029163322617151,0.8133531966795191,0.49668729911315207
16,-33.726253509521484,289.9341125488281,-1259.489501953125,-0.9450933250728074,-0.19108180100702443,-0.2651157336461499,-0.12054769530946752,-0.5501981919637857,0.8262869977891196,-0.3037546049994965,0.8128774168862688,0.49695416796512215
17,-33.72945022583008,289.9395751953125,-1259.4925537109375,-0.9452165421991422,-0.1906534142141168,-0.26498483730507577,-0.12076171445556137,-0.5499314945166844,0.8264332759880856,-0.3032858332907268,0.8131584267454566,0.49678071252616396
18,-33.74261474609375,289.9251708984375,-1259.448974609375,-0.9451977384258833,-0.19057651538095308,-0.26510719918525194,-0.12065442604748401,-0.5506158274777313,0.8259931718883429,-0.3033871202766322,0.8127132349828361,0.49744693479202956
19,-33.740142822265625,289.9200744628906,-1259.4658203125,-0.9451936718955759,-0.1906786446432117,-0.26504825425870376,-0.1207297002666905,-0.5501297981860003,0.8263059630798666,-0.303369843725565,0.813018363645532,0.4969586283515639
20,-33.73893737792969,289.91510009765625,-1259.4576416015625,-0.945282362942148,-0.1903530872207839,-0.26496595346577256,-0.12092701405840442,-0.5498740710883913,0.8264473142406582,-0.3030147052230762,0.8132676116323553,0.4967674307846447
21,-33.73097610473633,289.9336853027344,-1259.535400390625,-0.9451562891836787,-0.1908600626476559,-0.26505098660950377,-0.1207352617815008,-0.5498615847899094,0.8264836563023383,-0.3034840779663588,0.8131572259154204,0.4966615954172891
22,-33.74467849731445,289.9333190917969,-1259.542236328125,-0.9450938105672455,-0.19102454134339109,-0.26515526363251923,-0.1206663297754556,-0.5500550741039725,0.8263649631434011,-0.30370598625316014,0.8129877244196376,0.4968034157058251
23,-33.746402740478516,289.9244384765625,-1259.46630859375,-0.9451701675029252,-0.19066915667671658,-0.2651388827665273,-0.12043745447782454,-0.5511381217548682,0.8256764440792883,-0.30355917713255604,0.8123373950771354,0.4979556029787189
24,-33.74313735961914,289.9219055175781,-1259.457763671875,-0.9451918314727594,-0.19052914521131067,-0.2651623022645142,-0.12074297998021027,-0.5505754731358093,0.826007131426102,-0.3033702927161275,0.8127516799160285,0.49739438305132105
25,-33.75352478027344,289.9162902832031,-1259.3970947265625,-0.9451380386727913,-0.1906384424064534,-0.26527546462232504,-0.12075168267180414,-0.55066045494974,0.8259492081759465,-0.30353437858943916,0.8126684733834496,0.49743022966335326
26,-33.73710632324219,289.9209289550781,-1259.4559326171875,-0.9452883756403606,-0.1902425108796816,-0.2650239120030544,-0.1208240562814639,-0.5504448070442719,0.8260823577717225,-0.30303701804053934,0.8129073141829815,0.4973432056888979
27,-33.728450775146484,289.9035339355469,-1259.447509765625,-0.9451149687715003,-0.19072084318516241,-0.2652984277729272,-0.12025137779147257,-0.5519342192764748,0.8251716328927704,-0.30380471020591326,0.8117845635181844,0.49870684824884054
28,-33.747344970703125,289.9266052246094,-1259.4521484375,-0.9451696596820951,-0.19073223370670656,-0.26509532142548736,-0.12052489016016336,-0.5507118433747825,0.8259480712603119,-0.303526053689486,0.812611641924972,0.4975281440679392
29,-33.73945236206055,289.917236328125,-1259.4271240234375,-0.9453474720482067,-0.18996384283362033,-0.26501301007299316,-0.12085427052857334,-0.5507380566707907,0.8258824602989745,-0.30284055604735505,0.812773850065542,0.4976808879820123
